[Header]
Application Name	LabSolutions
Version	5.81 SP1
Data File Name	C:\LabSolutions\Data\Shangwen\20170529__Assay2_210nm_002.lcd
Output Date	5/29/2017
Output Time	3:31:06 PM

[File Information]
Type	Data File
Generated	5/29/2017 2:07:15 PM
Generated by	System Administrator
Modified	5/29/2017 2:32:39 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/29/2017 2:07:37 PM
Sample Type	0:Unknown
Level	0
Sample Name	Assay2_210nm
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	95
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\Shangwen\20170529__Assay2_210nm_002.lcd
Method File	C:\LabSolutions\Data\Shangwen\20170524_ATPAMP210gradient.lcm
Batch File	C:\LabSolutions\Data\Shangwen\20170524_batch2.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	NAIR-HPLC-Instrument1
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	AD2
Detector Name	Detector A	ELSD
# of Channels	1	1

[Peak Table(Detector A)]
# of Peaks	158
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.233	0.158	0.317	14274	1461	9.768	0.000	   			0.000	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
2	0.372	0.317	0.392	15702	3823	4.108	0.000	 V 			0.601	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
3	0.483	0.392	0.600	73673	5717	12.888	0.000	 V 			1.077	0	0.000	0.000	0.000	1.790	0	0	0.000	0.000
4	0.633	0.600	0.642	19839	8154	2.433	0.000	 V 			1.723	0	0.000	0.000	0.000	1.601	0	0	0.000	0.000
5	0.783	0.642	0.817	102650	10731	9.566	0.000	 V 			2.365	0	0.000	0.000	0.000	1.372	0	0	0.000	0.000
6	0.836	0.817	0.875	41134	11600	3.546	0.000	 V 			2.593	0	0.000	0.000	0.000	1.096	0	0	0.000	0.000
7	0.907	0.875	0.950	57899	12807	4.521	0.000	 V 			2.900	0	0.000	0.000	0.000	1.118	0	0	0.000	0.000
8	1.044	0.950	1.067	101752	15183	6.702	0.000	 V 			3.488	0	0.000	0.000	0.000	1.203	0	0	0.000	0.000
9	1.121	1.067	1.242	178596	16474	10.841	0.000	 V 			3.820	0	0.000	0.000	0.000	1.095	0	0	0.000	0.000
10	1.307	1.242	1.358	136593	19651	6.951	0.000	 V 			4.618	0	0.000	0.000	0.000	1.209	0	0	0.000	0.000
11	1.441	1.358	1.483	162152	21980	7.377	0.000	 V 			5.195	0	0.000	0.000	0.000	1.125	0	0	0.000	0.000
12	1.492	1.483	1.575	129047	22852	5.647	0.000	 V 			5.415	0	0.000	0.000	0.000	1.042	0	0	0.000	0.000
13	1.619	1.575	1.742	256466	25073	10.229	0.000	 V 			5.963	0	0.000	0.000	0.000	1.101	0	0	0.000	0.000
14	1.767	1.742	1.783	68521	27498	2.492	0.000	 V 			6.597	0	0.000	0.000	0.000	1.106	0	0	0.000	0.000
15	1.845	1.783	1.883	171799	28890	5.947	0.000	 V 			6.936	0	0.000	0.000	0.000	1.051	0	0	0.000	0.000
